"","M82.Inf","M82.Leaf","M82.root","M82.sdling","M82.stem","M82.veg","LA716.Inf","LA716.Leaf","LA716.root","LA716.sdling","LA716.stem","LA716.veg"
"Solyc02g081130.1.1",2,1,1,1,1.5,1,1.5,1.12535174719233e-08,1.12535174719151e-08,4.5,2,2
"Solyc08g069180.2.1",3.5,11,3.00000000000147,8.50000000000072,5,12,8.50000000000003,56.0000000000001,2.5,33.5000000000000,10,34.0000000000001
"Solyc08g076670.2.1",43.5,44.5000000000006,76.0000000000028,64.5,49.5,56,43,62.5,105.5,65.5000000000001,64.5,46.5
"Solyc04g024840.2.1",6.49999999999999,1.50000000077962,7,25.0000000000000,6.5,13.5,9.49999999999996,22.5000000000000,18.5,30.4999999999999,62.4999999999999,30.0000000000000
"Solyc09g074310.2.1",17.5,14.5000000000031,8,18,12.5,22.5000000000001,25.0000000000000,24,7.5000000000047,31.5,11,31
"Solyc02g093990.2.1",2.5,0.5,3,3.5,6.5,1.5,2.5,3.05902320502285e-08,1,1.5,1,2
"Solyc10g076590.1.1",62.5,65,81.4999999999999,62.5,79,59.5,66.4999999999997,53.5,104.5,83.5000000000284,81,66.4999999999999
"Solyc07g055900.1.1",32,15.5,10,14.5000000000807,11,34.5,13.0000000000000,10.5000000000069,8.00000000367516,10.5000000004075,7.00000002820426,19.5000000000009
"Solyc04g077980.1.1",6.49999999999998,118.000000000000,53.5,51.9999999999999,140.500000000000,8,5.99999999999996,26.5,62.9999999999999,31.9999999999999,247.500000000002,3.50000000000001
"Solyc01g067200.1.1",2.5,1,1.12535174719283e-08,1.5,1.5,0.5,1.5,2.5,1.12535174719528e-08,2,1,2.5
"Solyc06g053570.2.1",302.999999999999,186.500000000000,228.999999999999,205.500000000000,210.000000000000,253.5,250.499999999998,214.000000000000,134.500000000013,213.000000000000,169.000000000000,213.500000000000
"Solyc05g007830.2.1",268.5,82.5,39.4999999999999,479.5,94.5000001118725,383.5,199.5,691.000000000007,41.4999999999999,538.999999999999,317.5,450.500000000045
"Solyc05g012730.1.1",4.13993944822442e-09,4.13993771131609e-09,23.4999999999999,1.5,0.999999999999993,4.13993767048586e-09,2.99999999999995,1.00000000000003,13.5000000000000,3.49999999999994,5.50000000000004,2.50000000000002
"Solyc10g007940.1.1",4.5,3.00000000596612,3.5,3.5,3.5,6.5,6.5,8.5,2.5,3.5,6.5,6.5
"Solyc06g005550.1.1",23.5000000000000,1.52299800239712e-09,1.5229979744926e-09,1.52299797446618e-09,1.52299803656780e-09,1.52299814196144e-09,1.50000000000001,0.500000000000001,1.52299797448643e-09,1.52299797447490e-09,1.00000000000001,1.49999999999998
"Solyc12g087960.1.1",8.00000000000003,20.5000000000065,38.5,36.5,21.0000000000000,24.0000000000000,9.5000000000001,13.5,20.0000000000000,32.5,20.0000000000000,21.5000000000000
"Solyc01g109380.2.1",69.5000000000001,53.5000000000001,18.0000000000001,11.5000000001032,77.5000000000002,29.0000000000001,13.5000000036187,16.5000000000000,18.5000000000001,9.50000000000016,24.5000000000001,9.00000000000002
"Solyc07g006310.1.1",1.49999999999999,0.500000000000001,4.13993771851665e-09,0.999999999999997,4.13993765791948e-09,0.999999999999998,4.13993755570001e-09,2.00000000000002,4.13993771832611e-09,1.00000000000001,0.999999999999993,4
"Solyc08g014340.2.1",463,1395,490.999999999999,702.500,883.000000000095,1597.5,1102.00000000000,3066.50000002195,972.999999999999,1116.00000000000,2106.50000000000,2180.99999999999
"Solyc02g090890.2.1",279.999999999999,3437.5,165.500000000021,569.500000000273,283.499999999999,1093.50000000000,667.5,3777.49999999999,204.499999999999,1905.5,485.999999999999,1525.00000000000
"Solyc04g082270.2.1",1.5,9.5,10.5000000000002,20.5000000000003,10,4,0.500000000004684,0.500000000004682,14,3.49999999999999,5.00000000000001,15
"Solyc12g044420.1.1",31.0000000754617,80.0000000002332,13.5000000000000,57.9999999999999,73.9999999999998,25,48.9999999999999,53,15.0000000000003,52.9999999999999,96.5,33.0000000106318
"Solyc06g054220.2.1",4,1,2.5,3,1,1,1.52299797450064e-09,1.52299797460886e-09,1.52299797448095e-09,1.52299797447283e-09,1.52299797447300e-09,0.500000000000008
"Solyc04g054410.2.1",42,15.0000000000103,32,33,26.5,32.0000000000015,33.5,20.5,39.0000000000001,26.5,32.5000000000005,30
"Solyc10g074620.1.1",1,4.13993771882717e-09,1.49999999999999,2.00000000000000,2.00000000000001,1.50000000000000,4.13993778980991e-09,4.13993771878106e-09,2.00000000000000,4.13993771888325e-09,2.00000000000000,1.49999999999998
"Solyc06g068230.2.1",802.000000000001,1684.50000000000,167.000000000000,1250.00000000000,506,2769.00000000000,1075.00000000001,1527.50000007765,36.5000000000001,2620.50000000000,400.499999999999,2758.00000000001
"Solyc04g074580.1.1",473.000000000002,207.500000000001,268.000000000001,498.500000000002,216.500000000001,580.000000000002,456.500000000004,314.000000000001,481.500000000001,336.500000000011,278.000000000001,567.000000000002
"Solyc06g051090.1.1",2.50000000000001,2.00000000000001,2.00000000000000,2.00000000000001,6.00000000000001,4.00000000000001,1.52299800207476e-09,1.52299797405682e-09,1.52299797446988e-09,2.49999999999997,1.52299797445588e-09,0.99999999999999
"Solyc07g006220.1.1",130.000000000000,316.999999999999,201.500000000061,288.500000000000,584.499999999999,173.000000000000,138.999999999999,198.500000000000,278.500000000000,125.5,427.999999999999,118
